,Sport,Year,Weight,count
79,Alpine Skiing,1964,60.0,15
80,Alpine Skiing,1964,61.0,4
81,Alpine Skiing,1964,62.0,13
82,Alpine Skiing,1964,63.0,18
83,Alpine Skiing,1964,64.0,7
84,Alpine Skiing,1964,65.0,24
85,Alpine Skiing,1964,66.0,4
86,Alpine Skiing,1964,67.0,7
87,Alpine Skiing,1964,68.0,13
88,Alpine Skiing,1964,69.0,2
89,Alpine Skiing,1964,70.0,28
90,Alpine Skiing,1964,71.0,4
91,Alpine Skiing,1964,72.0,19
92,Alpine Skiing,1964,73.0,10
93,Alpine Skiing,1964,73.5,3
94,Alpine Skiing,1964,74.0,2
95,Alpine Skiing,1964,75.0,18
96,Alpine Skiing,1964,76.0,3
97,Alpine Skiing,1964,77.0,2
98,Alpine Skiing,1964,78.0,14
99,Alpine Skiing,1964,79.0,8
100,Alpine Skiing,1964,80.0,4
101,Alpine Skiing,1964,81.0,3
102,Alpine Skiing,1964,82.0,3
103,Alpine Skiing,1964,83.0,2
104,Alpine Skiing,1964,84.0,2
105,Alpine Skiing,1964,85.0,3
106,Alpine Skiing,1964,87.0,3
107,Alpine Skiing,1968,45.0,2
108,Alpine Skiing,1968,47.0,3
109,Alpine Skiing,1968,48.0,3
110,Alpine Skiing,1968,50.0,6
111,Alpine Skiing,1968,52.0,5
112,Alpine Skiing,1968,54.0,7
113,Alpine Skiing,1968,55.0,11
114,Alpine Skiing,1968,56.0,4
115,Alpine Skiing,1968,57.0,22
116,Alpine Skiing,1968,58.0,6
117,Alpine Skiing,1968,59.0,4
118,Alpine Skiing,1968,60.0,16
119,Alpine Skiing,1968,61.0,12
120,Alpine Skiing,1968,62.0,5
121,Alpine Skiing,1968,63.0,20
122,Alpine Skiing,1968,64.0,16
123,Alpine Skiing,1968,65.0,20
124,Alpine Skiing,1968,66.0,7
125,Alpine Skiing,1968,67.0,11
126,Alpine Skiing,1968,68.0,17
127,Alpine Skiing,1968,69.0,20
128,Alpine Skiing,1968,70.0,34
129,Alpine Skiing,1968,71.0,5
130,Alpine Skiing,1968,72.0,25
131,Alpine Skiing,1968,73.0,11
132,Alpine Skiing,1968,73.5,3
133,Alpine Skiing,1968,74.0,8
134,Alpine Skiing,1968,75.0,28
135,Alpine Skiing,1968,76.0,17
136,Alpine Skiing,1968,77.0,2
137,Alpine Skiing,1968,78.0,9
138,Alpine Skiing,1968,79.0,6
139,Alpine Skiing,1968,80.0,8
140,Alpine Skiing,1968,81.0,6
141,Alpine Skiing,1968,82.0,8
142,Alpine Skiing,1968,86.0,3
143,Alpine Skiing,1968,87.0,7
144,Alpine Skiing,1972,48.0,1
145,Alpine Skiing,1972,50.0,17
146,Alpine Skiing,1972,51.0,2
147,Alpine Skiing,1972,52.0,3
148,Alpine Skiing,1972,54.0,6
149,Alpine Skiing,1972,55.0,13
150,Alpine Skiing,1972,57.0,17
151,Alpine Skiing,1972,58.0,19
152,Alpine Skiing,1972,59.0,11
153,Alpine Skiing,1972,60.0,16
154,Alpine Skiing,1972,61.0,9
155,Alpine Skiing,1972,62.0,4
156,Alpine Skiing,1972,64.0,12
157,Alpine Skiing,1972,65.0,34
158,Alpine Skiing,1972,66.0,12
159,Alpine Skiing,1972,67.0,10
160,Alpine Skiing,1972,68.0,7
161,Alpine Skiing,1972,69.0,15
162,Alpine Skiing,1972,70.0,20
163,Alpine Skiing,1972,71.0,13
164,Alpine Skiing,1972,72.0,17
165,Alpine Skiing,1972,73.0,14
166,Alpine Skiing,1972,74.0,7
167,Alpine Skiing,1972,75.0,12
168,Alpine Skiing,1972,76.0,6
169,Alpine Skiing,1972,77.0,3
170,Alpine Skiing,1972,78.0,7
171,Alpine Skiing,1972,79.0,2
172,Alpine Skiing,1972,80.0,1
173,Alpine Skiing,1972,82.0,1
174,Alpine Skiing,1972,85.0,3
175,Alpine Skiing,1972,86.0,2
176,Alpine Skiing,1972,87.0,4
177,Alpine Skiing,1972,88.0,1
178,Alpine Skiing,1976,48.0,3
179,Alpine Skiing,1976,50.0,3
180,Alpine Skiing,1976,52.0,3
181,Alpine Skiing,1976,54.0,3
182,Alpine Skiing,1976,55.0,8
183,Alpine Skiing,1976,57.0,9
184,Alpine Skiing,1976,58.0,9
185,Alpine Skiing,1976,59.0,6
186,Alpine Skiing,1976,60.0,6
187,Alpine Skiing,1976,61.0,4
188,Alpine Skiing,1976,62.0,5
189,Alpine Skiing,1976,63.0,2
190,Alpine Skiing,1976,64.0,8
191,Alpine Skiing,1976,65.0,11
192,Alpine Skiing,1976,66.0,11
193,Alpine Skiing,1976,67.0,4
194,Alpine Skiing,1976,68.0,11
195,Alpine Skiing,1976,69.0,6
196,Alpine Skiing,1976,70.0,12
197,Alpine Skiing,1976,71.0,4
198,Alpine Skiing,1976,72.0,21
199,Alpine Skiing,1976,73.0,4
200,Alpine Skiing,1976,74.0,3
201,Alpine Skiing,1976,75.0,7
202,Alpine Skiing,1976,77.0,15
203,Alpine Skiing,1976,78.0,6
204,Alpine Skiing,1976,79.0,3
205,Alpine Skiing,1976,80.0,1
206,Alpine Skiing,1976,82.0,1
207,Alpine Skiing,1980,47.0,2
208,Alpine Skiing,1980,50.0,5
209,Alpine Skiing,1980,51.0,2
210,Alpine Skiing,1980,52.0,1
211,Alpine Skiing,1980,53.0,8
212,Alpine Skiing,1980,54.0,2
213,Alpine Skiing,1980,55.0,4
214,Alpine Skiing,1980,56.0,6
215,Alpine Skiing,1980,57.0,5
216,Alpine Skiing,1980,58.0,8
217,Alpine Skiing,1980,59.0,11
218,Alpine Skiing,1980,60.0,11
219,Alpine Skiing,1980,61.0,5
220,Alpine Skiing,1980,62.0,6
221,Alpine Skiing,1980,63.0,4
222,Alpine Skiing,1980,64.0,11
223,Alpine Skiing,1980,65.0,11
224,Alpine Skiing,1980,66.0,6
225,Alpine Skiing,1980,67.0,6
226,Alpine Skiing,1980,68.0,11
227,Alpine Skiing,1980,69.0,2
228,Alpine Skiing,1980,70.0,10
229,Alpine Skiing,1980,72.0,11
230,Alpine Skiing,1980,73.0,9
231,Alpine Skiing,1980,74.0,2
232,Alpine Skiing,1980,75.0,13
233,Alpine Skiing,1980,77.0,16
234,Alpine Skiing,1980,78.0,7
235,Alpine Skiing,1980,79.0,5
236,Alpine Skiing,1980,80.0,2
237,Alpine Skiing,1980,82.0,1
238,Alpine Skiing,1980,84.0,4
239,Alpine Skiing,1980,85.0,3
240,Alpine Skiing,1980,86.0,1
241,Alpine Skiing,1984,45.0,2
242,Alpine Skiing,1984,50.0,2
243,Alpine Skiing,1984,51.0,2
244,Alpine Skiing,1984,52.0,3
245,Alpine Skiing,1984,53.0,8
246,Alpine Skiing,1984,54.0,3
247,Alpine Skiing,1984,55.0,6
248,Alpine Skiing,1984,56.0,5
249,Alpine Skiing,1984,57.0,5
250,Alpine Skiing,1984,58.0,8
251,Alpine Skiing,1984,59.0,13
252,Alpine Skiing,1984,60.0,19
253,Alpine Skiing,1984,61.0,6
254,Alpine Skiing,1984,62.0,16
255,Alpine Skiing,1984,63.0,9
256,Alpine Skiing,1984,64.0,10
257,Alpine Skiing,1984,65.0,12
258,Alpine Skiing,1984,66.0,9
259,Alpine Skiing,1984,67.0,12
260,Alpine Skiing,1984,68.0,11
261,Alpine Skiing,1984,69.0,11
262,Alpine Skiing,1984,70.0,24
263,Alpine Skiing,1984,71.0,1
264,Alpine Skiing,1984,72.0,15
265,Alpine Skiing,1984,73.0,18
266,Alpine Skiing,1984,74.0,5
267,Alpine Skiing,1984,75.0,15
268,Alpine Skiing,1984,76.0,8
269,Alpine Skiing,1984,77.0,16
270,Alpine Skiing,1984,78.0,13
271,Alpine Skiing,1984,79.0,10
272,Alpine Skiing,1984,80.0,14
273,Alpine Skiing,1984,81.0,2
274,Alpine Skiing,1984,82.0,10
275,Alpine Skiing,1984,83.0,10
276,Alpine Skiing,1984,84.0,1
277,Alpine Skiing,1984,85.0,3
278,Alpine Skiing,1984,92.0,2
279,Alpine Skiing,1984,102.0,1
280,Alpine Skiing,1988,45.0,2
281,Alpine Skiing,1988,50.0,5
282,Alpine Skiing,1988,51.0,4
283,Alpine Skiing,1988,52.0,4
284,Alpine Skiing,1988,53.0,12
285,Alpine Skiing,1988,54.0,1
286,Alpine Skiing,1988,55.0,4
287,Alpine Skiing,1988,56.0,14
288,Alpine Skiing,1988,57.0,16
289,Alpine Skiing,1988,58.0,8
290,Alpine Skiing,1988,59.0,3
291,Alpine Skiing,1988,60.0,28
292,Alpine Skiing,1988,61.0,17
293,Alpine Skiing,1988,62.0,9
294,Alpine Skiing,1988,63.0,16
295,Alpine Skiing,1988,64.0,12
296,Alpine Skiing,1988,65.0,5
297,Alpine Skiing,1988,66.0,2
298,Alpine Skiing,1988,67.0,6
299,Alpine Skiing,1988,68.0,12
300,Alpine Skiing,1988,69.0,8
301,Alpine Skiing,1988,70.0,13
302,Alpine Skiing,1988,71.0,10
303,Alpine Skiing,1988,72.0,12
304,Alpine Skiing,1988,73.0,15
305,Alpine Skiing,1988,75.0,19
306,Alpine Skiing,1988,76.0,6
307,Alpine Skiing,1988,77.0,17
308,Alpine Skiing,1988,78.0,16
309,Alpine Skiing,1988,79.0,14
310,Alpine Skiing,1988,80.0,7
311,Alpine Skiing,1988,81.0,5
312,Alpine Skiing,1988,82.0,29
313,Alpine Skiing,1988,83.0,12
314,Alpine Skiing,1988,84.0,13
315,Alpine Skiing,1988,85.0,7
316,Alpine Skiing,1988,87.0,4
317,Alpine Skiing,1988,88.0,3
318,Alpine Skiing,1988,89.0,11
319,Alpine Skiing,1988,91.0,1
320,Alpine Skiing,1988,92.0,6
321,Alpine Skiing,1988,93.0,2
322,Alpine Skiing,1988,96.0,3
323,Alpine Skiing,1988,102.0,1
324,Alpine Skiing,1992,50.0,3
325,Alpine Skiing,1992,52.0,5
326,Alpine Skiing,1992,53.0,8
327,Alpine Skiing,1992,54.0,3
328,Alpine Skiing,1992,55.0,7
329,Alpine Skiing,1992,56.0,5
330,Alpine Skiing,1992,57.0,9
331,Alpine Skiing,1992,58.0,9
332,Alpine Skiing,1992,59.0,4
333,Alpine Skiing,1992,60.0,23
334,Alpine Skiing,1992,61.0,10
335,Alpine Skiing,1992,62.0,21
336,Alpine Skiing,1992,63.0,17
337,Alpine Skiing,1992,64.0,22
338,Alpine Skiing,1992,65.0,8
339,Alpine Skiing,1992,66.0,2
340,Alpine Skiing,1992,67.0,6
341,Alpine Skiing,1992,68.0,24
342,Alpine Skiing,1992,69.0,7
343,Alpine Skiing,1992,70.0,18
344,Alpine Skiing,1992,71.0,7
345,Alpine Skiing,1992,72.0,9
346,Alpine Skiing,1992,73.0,7
347,Alpine Skiing,1992,74.0,8
348,Alpine Skiing,1992,75.0,12
349,Alpine Skiing,1992,76.0,12
350,Alpine Skiing,1992,77.0,16
351,Alpine Skiing,1992,78.0,23
352,Alpine Skiing,1992,79.0,7
353,Alpine Skiing,1992,80.0,15
354,Alpine Skiing,1992,81.0,7
355,Alpine Skiing,1992,82.0,36
356,Alpine Skiing,1992,83.0,16
357,Alpine Skiing,1992,84.0,18
358,Alpine Skiing,1992,85.0,17
359,Alpine Skiing,1992,86.0,1
360,Alpine Skiing,1992,87.0,2
361,Alpine Skiing,1992,88.0,10
362,Alpine Skiing,1992,89.0,12
363,Alpine Skiing,1992,90.0,10
364,Alpine Skiing,1992,91.0,1
365,Alpine Skiing,1992,92.0,14
366,Alpine Skiing,1992,93.0,4
367,Alpine Skiing,1992,94.0,3
368,Alpine Skiing,1992,95.0,4
369,Alpine Skiing,1992,96.0,3
370,Alpine Skiing,1992,97.0,1
371,Alpine Skiing,1994,50.0,3
372,Alpine Skiing,1994,52.0,2
373,Alpine Skiing,1994,53.0,5
374,Alpine Skiing,1994,54.0,5
375,Alpine Skiing,1994,55.0,2
376,Alpine Skiing,1994,56.0,13
377,Alpine Skiing,1994,57.0,9
378,Alpine Skiing,1994,58.0,8
379,Alpine Skiing,1994,59.0,8
380,Alpine Skiing,1994,60.0,27
381,Alpine Skiing,1994,61.0,6
382,Alpine Skiing,1994,62.0,18
383,Alpine Skiing,1994,63.0,10
384,Alpine Skiing,1994,64.0,23
385,Alpine Skiing,1994,65.0,14
386,Alpine Skiing,1994,66.0,15
387,Alpine Skiing,1994,67.0,6
388,Alpine Skiing,1994,68.0,27
389,Alpine Skiing,1994,69.0,4
390,Alpine Skiing,1994,70.0,22
391,Alpine Skiing,1994,71.0,12
392,Alpine Skiing,1994,72.0,11
393,Alpine Skiing,1994,73.0,9
394,Alpine Skiing,1994,74.0,9
395,Alpine Skiing,1994,75.0,13
396,Alpine Skiing,1994,76.0,12
397,Alpine Skiing,1994,77.0,14
398,Alpine Skiing,1994,78.0,14
399,Alpine Skiing,1994,79.0,6
400,Alpine Skiing,1994,80.0,15
401,Alpine Skiing,1994,81.0,6
402,Alpine Skiing,1994,82.0,27
403,Alpine Skiing,1994,83.0,16
404,Alpine Skiing,1994,84.0,7
405,Alpine Skiing,1994,85.0,24
406,Alpine Skiing,1994,86.0,4
407,Alpine Skiing,1994,87.0,4
408,Alpine Skiing,1994,88.0,13
409,Alpine Skiing,1994,89.0,7
410,Alpine Skiing,1994,90.0,13
411,Alpine Skiing,1994,91.0,9
412,Alpine Skiing,1994,92.0,10
413,Alpine Skiing,1994,93.0,4
414,Alpine Skiing,1994,94.0,5
415,Alpine Skiing,1994,95.0,5
416,Alpine Skiing,1994,96.0,1
417,Alpine Skiing,1994,97.0,2
418,Alpine Skiing,1994,102.0,2
419,Alpine Skiing,1998,50.0,1
420,Alpine Skiing,1998,53.0,5
421,Alpine Skiing,1998,55.0,1
422,Alpine Skiing,1998,56.0,3
423,Alpine Skiing,1998,57.0,3
424,Alpine Skiing,1998,58.0,6
425,Alpine Skiing,1998,59.0,7
426,Alpine Skiing,1998,60.0,16
427,Alpine Skiing,1998,61.0,10
428,Alpine Skiing,1998,62.0,19
429,Alpine Skiing,1998,63.0,15
430,Alpine Skiing,1998,64.0,13
431,Alpine Skiing,1998,65.0,17
432,Alpine Skiing,1998,66.0,7
433,Alpine Skiing,1998,67.0,2
434,Alpine Skiing,1998,68.0,23
435,Alpine Skiing,1998,69.0,3
436,Alpine Skiing,1998,70.0,29
437,Alpine Skiing,1998,71.0,2
438,Alpine Skiing,1998,71.5,2
439,Alpine Skiing,1998,72.0,7
440,Alpine Skiing,1998,73.0,13
441,Alpine Skiing,1998,74.0,4
442,Alpine Skiing,1998,75.0,19
443,Alpine Skiing,1998,76.0,11
444,Alpine Skiing,1998,77.0,8
445,Alpine Skiing,1998,78.0,21
446,Alpine Skiing,1998,79.0,3
447,Alpine Skiing,1998,80.0,14
448,Alpine Skiing,1998,81.0,4
449,Alpine Skiing,1998,82.0,15
450,Alpine Skiing,1998,83.0,10
451,Alpine Skiing,1998,84.0,9
452,Alpine Skiing,1998,85.0,22
453,Alpine Skiing,1998,86.0,3
454,Alpine Skiing,1998,87.0,7
455,Alpine Skiing,1998,88.0,17
456,Alpine Skiing,1998,89.0,11
457,Alpine Skiing,1998,90.0,18
458,Alpine Skiing,1998,91.0,7
459,Alpine Skiing,1998,92.0,6
460,Alpine Skiing,1998,93.0,5
461,Alpine Skiing,1998,94.0,2
462,Alpine Skiing,1998,95.0,5
463,Alpine Skiing,1998,97.0,3
464,Alpine Skiing,1998,98.0,3
465,Alpine Skiing,1998,102.0,2
466,Alpine Skiing,1998,104.0,1
467,Alpine Skiing,2002,50.0,3
468,Alpine Skiing,2002,51.0,1
469,Alpine Skiing,2002,52.0,1
470,Alpine Skiing,2002,53.0,7
471,Alpine Skiing,2002,54.0,1
472,Alpine Skiing,2002,56.0,1
473,Alpine Skiing,2002,57.0,6
474,Alpine Skiing,2002,58.0,6
475,Alpine Skiing,2002,59.0,14
476,Alpine Skiing,2002,60.0,24
477,Alpine Skiing,2002,61.0,2
478,Alpine Skiing,2002,62.0,26
479,Alpine Skiing,2002,63.0,21
480,Alpine Skiing,2002,64.0,9
481,Alpine Skiing,2002,65.0,25
482,Alpine Skiing,2002,66.0,14
483,Alpine Skiing,2002,67.0,3
484,Alpine Skiing,2002,68.0,21
485,Alpine Skiing,2002,69.0,7
486,Alpine Skiing,2002,70.0,16
487,Alpine Skiing,2002,71.0,6
488,Alpine Skiing,2002,71.5,1
489,Alpine Skiing,2002,72.0,13
490,Alpine Skiing,2002,73.0,14
491,Alpine Skiing,2002,74.0,10
492,Alpine Skiing,2002,75.0,25
493,Alpine Skiing,2002,76.0,12
494,Alpine Skiing,2002,77.0,9
495,Alpine Skiing,2002,78.0,2
496,Alpine Skiing,2002,79.0,1
497,Alpine Skiing,2002,80.0,21
498,Alpine Skiing,2002,81.0,7
499,Alpine Skiing,2002,82.0,19
500,Alpine Skiing,2002,83.0,12
501,Alpine Skiing,2002,84.0,17
502,Alpine Skiing,2002,85.0,47
503,Alpine Skiing,2002,86.0,16
504,Alpine Skiing,2002,87.0,6
505,Alpine Skiing,2002,88.0,16
506,Alpine Skiing,2002,89.0,19
507,Alpine Skiing,2002,90.0,15
508,Alpine Skiing,2002,91.0,8
509,Alpine Skiing,2002,92.0,9
510,Alpine Skiing,2002,93.0,12
511,Alpine Skiing,2002,94.0,5
512,Alpine Skiing,2002,95.0,8
513,Alpine Skiing,2002,96.0,3
514,Alpine Skiing,2002,97.0,4
515,Alpine Skiing,2002,98.0,1
516,Alpine Skiing,2002,100.0,4
517,Alpine Skiing,2002,105.0,3
518,Alpine Skiing,2006,51.0,1
519,Alpine Skiing,2006,54.0,2
520,Alpine Skiing,2006,55.0,3
521,Alpine Skiing,2006,56.0,1
522,Alpine Skiing,2006,58.0,9
523,Alpine Skiing,2006,59.0,16
524,Alpine Skiing,2006,60.0,31
525,Alpine Skiing,2006,61.0,13
526,Alpine Skiing,2006,62.0,17
527,Alpine Skiing,2006,63.0,31
528,Alpine Skiing,2006,64.0,10
529,Alpine Skiing,2006,65.0,29
530,Alpine Skiing,2006,66.0,25
531,Alpine Skiing,2006,67.0,3
532,Alpine Skiing,2006,68.0,15
533,Alpine Skiing,2006,69.0,12
534,Alpine Skiing,2006,70.0,24
535,Alpine Skiing,2006,71.0,7
536,Alpine Skiing,2006,72.0,14
537,Alpine Skiing,2006,73.0,10
538,Alpine Skiing,2006,74.0,16
539,Alpine Skiing,2006,75.0,22
540,Alpine Skiing,2006,76.0,8
541,Alpine Skiing,2006,77.0,4
542,Alpine Skiing,2006,78.0,19
543,Alpine Skiing,2006,79.0,5
544,Alpine Skiing,2006,80.0,22
545,Alpine Skiing,2006,81.0,10
546,Alpine Skiing,2006,82.0,18
547,Alpine Skiing,2006,83.0,22
548,Alpine Skiing,2006,84.0,22
549,Alpine Skiing,2006,85.0,34
550,Alpine Skiing,2006,86.0,17
551,Alpine Skiing,2006,87.0,4
552,Alpine Skiing,2006,88.0,30
553,Alpine Skiing,2006,89.0,17
554,Alpine Skiing,2006,90.0,15
555,Alpine Skiing,2006,91.0,9
556,Alpine Skiing,2006,92.0,12
557,Alpine Skiing,2006,93.0,9
558,Alpine Skiing,2006,94.0,5
559,Alpine Skiing,2006,95.0,4
560,Alpine Skiing,2006,96.0,1
561,Alpine Skiing,2006,97.0,4
562,Alpine Skiing,2006,98.0,1
563,Alpine Skiing,2006,100.0,10
564,Alpine Skiing,2010,52.0,2
565,Alpine Skiing,2010,53.0,4
566,Alpine Skiing,2010,54.0,1
567,Alpine Skiing,2010,55.0,11
568,Alpine Skiing,2010,56.0,16
569,Alpine Skiing,2010,57.0,8
570,Alpine Skiing,2010,58.0,11
571,Alpine Skiing,2010,59.0,9
572,Alpine Skiing,2010,60.0,46
573,Alpine Skiing,2010,61.0,8
574,Alpine Skiing,2010,62.0,20
575,Alpine Skiing,2010,63.0,16
576,Alpine Skiing,2010,64.0,16
577,Alpine Skiing,2010,65.0,19
578,Alpine Skiing,2010,66.0,20
579,Alpine Skiing,2010,67.0,11
580,Alpine Skiing,2010,68.0,18
581,Alpine Skiing,2010,69.0,16
582,Alpine Skiing,2010,70.0,17
583,Alpine Skiing,2010,71.0,3
584,Alpine Skiing,2010,72.0,5
585,Alpine Skiing,2010,73.0,21
586,Alpine Skiing,2010,74.0,9
587,Alpine Skiing,2010,75.0,23
588,Alpine Skiing,2010,76.0,12
589,Alpine Skiing,2010,77.0,15
590,Alpine Skiing,2010,78.0,20
591,Alpine Skiing,2010,79.0,6
592,Alpine Skiing,2010,80.0,36
593,Alpine Skiing,2010,81.0,10
594,Alpine Skiing,2010,82.0,21
595,Alpine Skiing,2010,83.0,20
596,Alpine Skiing,2010,84.0,36
597,Alpine Skiing,2010,85.0,23
598,Alpine Skiing,2010,86.0,20
599,Alpine Skiing,2010,87.0,6
600,Alpine Skiing,2010,88.0,24
601,Alpine Skiing,2010,89.0,14
602,Alpine Skiing,2010,90.0,20
603,Alpine Skiing,2010,91.0,15
604,Alpine Skiing,2010,92.0,9
605,Alpine Skiing,2010,93.0,14
606,Alpine Skiing,2010,94.0,7
607,Alpine Skiing,2010,95.0,1
608,Alpine Skiing,2010,97.0,4
609,Alpine Skiing,2010,98.0,7
610,Alpine Skiing,2010,100.0,8
611,Alpine Skiing,2010,102.0,3
612,Alpine Skiing,2014,53.0,3
613,Alpine Skiing,2014,54.0,4
614,Alpine Skiing,2014,55.0,4
615,Alpine Skiing,2014,56.0,5
616,Alpine Skiing,2014,57.0,5
617,Alpine Skiing,2014,58.0,17
618,Alpine Skiing,2014,59.0,4
619,Alpine Skiing,2014,60.0,32
620,Alpine Skiing,2014,61.0,12
621,Alpine Skiing,2014,62.0,10
622,Alpine Skiing,2014,63.0,20
623,Alpine Skiing,2014,64.0,21
624,Alpine Skiing,2014,65.0,30
625,Alpine Skiing,2014,66.0,22
626,Alpine Skiing,2014,67.0,13
627,Alpine Skiing,2014,68.0,22
628,Alpine Skiing,2014,69.0,16
629,Alpine Skiing,2014,70.0,37
630,Alpine Skiing,2014,71.0,5
631,Alpine Skiing,2014,72.0,7
632,Alpine Skiing,2014,73.0,22
633,Alpine Skiing,2014,74.0,8
634,Alpine Skiing,2014,75.0,22
635,Alpine Skiing,2014,76.0,13
636,Alpine Skiing,2014,77.0,15
637,Alpine Skiing,2014,78.0,29
638,Alpine Skiing,2014,79.0,4
639,Alpine Skiing,2014,80.0,40
640,Alpine Skiing,2014,81.0,5
641,Alpine Skiing,2014,82.0,17
642,Alpine Skiing,2014,83.0,19
643,Alpine Skiing,2014,84.0,22
644,Alpine Skiing,2014,85.0,26
645,Alpine Skiing,2014,86.0,19
646,Alpine Skiing,2014,87.0,20
647,Alpine Skiing,2014,88.0,10
648,Alpine Skiing,2014,89.0,3
649,Alpine Skiing,2014,90.0,16
650,Alpine Skiing,2014,91.0,12
651,Alpine Skiing,2014,92.0,4
652,Alpine Skiing,2014,93.0,5
653,Alpine Skiing,2014,94.0,6
654,Alpine Skiing,2014,95.0,8
655,Alpine Skiing,2014,96.0,4
656,Alpine Skiing,2014,97.0,1
657,Alpine Skiing,2014,98.0,5
658,Alpine Skiing,2014,100.0,7
659,Alpine Skiing,2014,107.0,2
660,Archery,1972,51.0,1
661,Archery,1972,53.0,1
662,Archery,1972,55.0,1
663,Archery,1972,56.0,2
664,Archery,1972,58.0,1
665,Archery,1972,59.0,1
666,Archery,1972,60.0,1
667,Archery,1972,61.0,1
668,Archery,1972,62.0,2
669,Archery,1972,63.0,1
670,Archery,1972,64.0,2
671,Archery,1972,67.0,2
672,Archery,1972,68.0,1
673,Archery,1972,70.0,5
674,Archery,1972,72.0,3
675,Archery,1972,73.0,3
676,Archery,1972,74.0,2
677,Archery,1972,75.0,2
678,Archery,1972,80.0,4
679,Archery,1972,82.0,1
680,Archery,1972,84.0,1
681,Archery,1972,86.0,1
682,Archery,1972,90.0,1
683,Archery,1976,44.0,1
684,Archery,1976,49.0,1
685,Archery,1976,51.0,1
686,Archery,1976,52.0,1
687,Archery,1976,53.0,1
688,Archery,1976,54.0,1
689,Archery,1976,55.0,1
690,Archery,1976,56.0,2
691,Archery,1976,57.0,2
692,Archery,1976,58.0,2
693,Archery,1976,59.0,3
694,Archery,1976,60.0,3
695,Archery,1976,61.0,2
696,Archery,1976,62.0,3
697,Archery,1976,63.0,2
698,Archery,1976,64.0,3
699,Archery,1976,66.0,3
700,Archery,1976,67.0,2
701,Archery,1976,68.0,5
702,Archery,1976,70.0,7
703,Archery,1976,72.0,4
704,Archery,1976,73.0,3
705,Archery,1976,74.0,2
706,Archery,1976,75.0,2
707,Archery,1976,76.0,1
708,Archery,1976,77.0,1
709,Archery,1976,80.0,1
710,Archery,1976,86.0,1
