,Sport,Year,Age,count
80,Alpine Skiing,1956,34.0,2
81,Alpine Skiing,1956,36.0,1
82,Alpine Skiing,1956,39.0,3
83,Alpine Skiing,1960,16.0,14
84,Alpine Skiing,1960,17.0,7
85,Alpine Skiing,1960,18.0,21
86,Alpine Skiing,1960,19.0,36
87,Alpine Skiing,1960,20.0,27
88,Alpine Skiing,1960,21.0,32
89,Alpine Skiing,1960,22.0,30
90,Alpine Skiing,1960,23.0,24
91,Alpine Skiing,1960,24.0,33
92,Alpine Skiing,1960,25.0,25
93,Alpine Skiing,1960,26.0,8
94,Alpine Skiing,1960,27.0,22
95,Alpine Skiing,1960,28.0,13
96,Alpine Skiing,1960,29.0,16
97,Alpine Skiing,1960,30.0,6
98,Alpine Skiing,1960,34.0,1
99,Alpine Skiing,1960,35.0,2
100,Alpine Skiing,1964,14.0,3
101,Alpine Skiing,1964,16.0,1
102,Alpine Skiing,1964,17.0,10
103,Alpine Skiing,1964,18.0,22
104,Alpine Skiing,1964,19.0,40
105,Alpine Skiing,1964,20.0,72
106,Alpine Skiing,1964,21.0,49
107,Alpine Skiing,1964,22.0,48
108,Alpine Skiing,1964,23.0,43
109,Alpine Skiing,1964,24.0,33
110,Alpine Skiing,1964,25.0,12
111,Alpine Skiing,1964,26.0,20
112,Alpine Skiing,1964,27.0,13
113,Alpine Skiing,1964,28.0,9
114,Alpine Skiing,1964,29.0,7
115,Alpine Skiing,1964,30.0,2
116,Alpine Skiing,1964,31.0,6
117,Alpine Skiing,1964,33.0,6
118,Alpine Skiing,1964,34.0,3
119,Alpine Skiing,1968,14.0,3
120,Alpine Skiing,1968,15.0,4
121,Alpine Skiing,1968,16.0,11
122,Alpine Skiing,1968,17.0,19
123,Alpine Skiing,1968,18.0,20
124,Alpine Skiing,1968,19.0,37
125,Alpine Skiing,1968,20.0,22
126,Alpine Skiing,1968,21.0,60
127,Alpine Skiing,1968,22.0,48
128,Alpine Skiing,1968,23.0,47
129,Alpine Skiing,1968,24.0,45
130,Alpine Skiing,1968,25.0,28
131,Alpine Skiing,1968,26.0,11
132,Alpine Skiing,1968,27.0,21
133,Alpine Skiing,1968,28.0,21
134,Alpine Skiing,1968,29.0,9
135,Alpine Skiing,1968,30.0,1
136,Alpine Skiing,1972,14.0,2
137,Alpine Skiing,1972,15.0,9
138,Alpine Skiing,1972,16.0,6
139,Alpine Skiing,1972,17.0,16
140,Alpine Skiing,1972,18.0,21
141,Alpine Skiing,1972,19.0,43
142,Alpine Skiing,1972,20.0,46
143,Alpine Skiing,1972,21.0,29
144,Alpine Skiing,1972,22.0,42
145,Alpine Skiing,1972,23.0,31
146,Alpine Skiing,1972,24.0,24
147,Alpine Skiing,1972,25.0,21
148,Alpine Skiing,1972,26.0,4
149,Alpine Skiing,1972,27.0,12
150,Alpine Skiing,1972,28.0,5
151,Alpine Skiing,1972,29.0,1
152,Alpine Skiing,1972,31.0,3
153,Alpine Skiing,1972,32.0,4
154,Alpine Skiing,1972,33.0,3
155,Alpine Skiing,1976,15.0,4
156,Alpine Skiing,1976,16.0,24
157,Alpine Skiing,1976,17.0,26
158,Alpine Skiing,1976,18.0,39
159,Alpine Skiing,1976,19.0,61
160,Alpine Skiing,1976,20.0,38
161,Alpine Skiing,1976,21.0,39
162,Alpine Skiing,1976,22.0,45
163,Alpine Skiing,1976,23.0,37
164,Alpine Skiing,1976,24.0,28
165,Alpine Skiing,1976,25.0,13
166,Alpine Skiing,1976,26.0,14
167,Alpine Skiing,1976,27.0,12
168,Alpine Skiing,1976,31.0,1
169,Alpine Skiing,1980,14.0,2
170,Alpine Skiing,1980,16.0,4
171,Alpine Skiing,1980,17.0,22
172,Alpine Skiing,1980,18.0,36
173,Alpine Skiing,1980,19.0,32
174,Alpine Skiing,1980,20.0,46
175,Alpine Skiing,1980,21.0,45
176,Alpine Skiing,1980,22.0,41
177,Alpine Skiing,1980,23.0,48
178,Alpine Skiing,1980,24.0,15
179,Alpine Skiing,1980,25.0,14
180,Alpine Skiing,1980,26.0,12
181,Alpine Skiing,1980,27.0,2
182,Alpine Skiing,1980,28.0,2
183,Alpine Skiing,1980,29.0,3
184,Alpine Skiing,1980,30.0,1
185,Alpine Skiing,1980,32.0,2
186,Alpine Skiing,1984,15.0,5
187,Alpine Skiing,1984,16.0,9
188,Alpine Skiing,1984,17.0,24
189,Alpine Skiing,1984,18.0,33
190,Alpine Skiing,1984,19.0,42
191,Alpine Skiing,1984,20.0,48
192,Alpine Skiing,1984,21.0,63
193,Alpine Skiing,1984,22.0,32
194,Alpine Skiing,1984,23.0,40
195,Alpine Skiing,1984,24.0,23
196,Alpine Skiing,1984,25.0,32
197,Alpine Skiing,1984,26.0,17
198,Alpine Skiing,1984,27.0,13
199,Alpine Skiing,1984,28.0,5
200,Alpine Skiing,1984,29.0,2
201,Alpine Skiing,1984,30.0,1
202,Alpine Skiing,1984,31.0,1
203,Alpine Skiing,1988,14.0,2
204,Alpine Skiing,1988,15.0,5
205,Alpine Skiing,1988,16.0,15
206,Alpine Skiing,1988,17.0,42
207,Alpine Skiing,1988,18.0,44
208,Alpine Skiing,1988,19.0,50
209,Alpine Skiing,1988,20.0,62
210,Alpine Skiing,1988,21.0,97
211,Alpine Skiing,1988,22.0,52
212,Alpine Skiing,1988,23.0,88
213,Alpine Skiing,1988,24.0,62
214,Alpine Skiing,1988,25.0,53
215,Alpine Skiing,1988,26.0,31
216,Alpine Skiing,1988,27.0,18
217,Alpine Skiing,1988,28.0,10
218,Alpine Skiing,1988,29.0,13
219,Alpine Skiing,1988,30.0,4
220,Alpine Skiing,1988,31.0,8
221,Alpine Skiing,1988,32.0,3
222,Alpine Skiing,1988,33.0,2
223,Alpine Skiing,1988,36.0,1
224,Alpine Skiing,1988,41.0,4
225,Alpine Skiing,1992,15.0,8
226,Alpine Skiing,1992,16.0,10
227,Alpine Skiing,1992,17.0,22
228,Alpine Skiing,1992,18.0,30
229,Alpine Skiing,1992,19.0,48
230,Alpine Skiing,1992,20.0,83
231,Alpine Skiing,1992,21.0,97
232,Alpine Skiing,1992,22.0,85
233,Alpine Skiing,1992,23.0,71
234,Alpine Skiing,1992,24.0,106
235,Alpine Skiing,1992,25.0,45
236,Alpine Skiing,1992,26.0,44
237,Alpine Skiing,1992,27.0,33
238,Alpine Skiing,1992,28.0,15
239,Alpine Skiing,1992,29.0,24
240,Alpine Skiing,1992,30.0,8
241,Alpine Skiing,1992,31.0,10
242,Alpine Skiing,1992,32.0,1
243,Alpine Skiing,1992,33.0,4
244,Alpine Skiing,1992,35.0,2
245,Alpine Skiing,1992,36.0,1
246,Alpine Skiing,1992,37.0,1
247,Alpine Skiing,1992,45.0,2
248,Alpine Skiing,1994,16.0,7
249,Alpine Skiing,1994,17.0,11
250,Alpine Skiing,1994,18.0,39
251,Alpine Skiing,1994,19.0,29
252,Alpine Skiing,1994,20.0,36
253,Alpine Skiing,1994,21.0,51
254,Alpine Skiing,1994,22.0,66
255,Alpine Skiing,1994,23.0,86
256,Alpine Skiing,1994,24.0,46
257,Alpine Skiing,1994,25.0,30
258,Alpine Skiing,1994,26.0,50
259,Alpine Skiing,1994,27.0,34
260,Alpine Skiing,1994,28.0,21
261,Alpine Skiing,1994,29.0,19
262,Alpine Skiing,1994,30.0,11
263,Alpine Skiing,1994,31.0,2
264,Alpine Skiing,1994,32.0,2
265,Alpine Skiing,1994,33.0,3
266,Alpine Skiing,1994,35.0,1
267,Alpine Skiing,1998,16.0,11
268,Alpine Skiing,1998,17.0,2
269,Alpine Skiing,1998,18.0,11
270,Alpine Skiing,1998,19.0,18
271,Alpine Skiing,1998,20.0,34
272,Alpine Skiing,1998,21.0,40
273,Alpine Skiing,1998,22.0,50
274,Alpine Skiing,1998,23.0,50
275,Alpine Skiing,1998,24.0,58
276,Alpine Skiing,1998,25.0,46
277,Alpine Skiing,1998,26.0,35
278,Alpine Skiing,1998,27.0,41
279,Alpine Skiing,1998,28.0,28
280,Alpine Skiing,1998,29.0,16
281,Alpine Skiing,1998,30.0,19
282,Alpine Skiing,1998,31.0,11
283,Alpine Skiing,1998,32.0,4
284,Alpine Skiing,1998,33.0,1
285,Alpine Skiing,1998,39.0,1
286,Alpine Skiing,1998,40.0,1
287,Alpine Skiing,2002,15.0,2
288,Alpine Skiing,2002,17.0,15
289,Alpine Skiing,2002,18.0,12
290,Alpine Skiing,2002,19.0,17
291,Alpine Skiing,2002,20.0,37
292,Alpine Skiing,2002,21.0,54
293,Alpine Skiing,2002,22.0,40
294,Alpine Skiing,2002,23.0,51
295,Alpine Skiing,2002,24.0,66
296,Alpine Skiing,2002,25.0,52
297,Alpine Skiing,2002,26.0,58
298,Alpine Skiing,2002,27.0,25
299,Alpine Skiing,2002,28.0,46
300,Alpine Skiing,2002,29.0,32
301,Alpine Skiing,2002,30.0,16
302,Alpine Skiing,2002,31.0,15
303,Alpine Skiing,2002,32.0,14
304,Alpine Skiing,2002,33.0,3
305,Alpine Skiing,2002,34.0,3
306,Alpine Skiing,2002,35.0,1
307,Alpine Skiing,2006,15.0,1
308,Alpine Skiing,2006,16.0,6
309,Alpine Skiing,2006,17.0,15
310,Alpine Skiing,2006,18.0,15
311,Alpine Skiing,2006,19.0,36
312,Alpine Skiing,2006,20.0,42
313,Alpine Skiing,2006,21.0,72
314,Alpine Skiing,2006,22.0,43
315,Alpine Skiing,2006,23.0,57
316,Alpine Skiing,2006,24.0,65
317,Alpine Skiing,2006,25.0,59
318,Alpine Skiing,2006,26.0,31
319,Alpine Skiing,2006,27.0,44
320,Alpine Skiing,2006,28.0,55
321,Alpine Skiing,2006,29.0,12
322,Alpine Skiing,2006,30.0,21
323,Alpine Skiing,2006,31.0,5
324,Alpine Skiing,2006,32.0,15
325,Alpine Skiing,2006,33.0,12
326,Alpine Skiing,2006,34.0,5
327,Alpine Skiing,2006,35.0,4
328,Alpine Skiing,2006,36.0,4
329,Alpine Skiing,2010,16.0,10
330,Alpine Skiing,2010,17.0,8
331,Alpine Skiing,2010,18.0,10
332,Alpine Skiing,2010,19.0,29
333,Alpine Skiing,2010,20.0,46
334,Alpine Skiing,2010,21.0,51
335,Alpine Skiing,2010,22.0,44
336,Alpine Skiing,2010,23.0,65
337,Alpine Skiing,2010,24.0,72
338,Alpine Skiing,2010,25.0,95
339,Alpine Skiing,2010,26.0,30
340,Alpine Skiing,2010,27.0,46
341,Alpine Skiing,2010,28.0,47
342,Alpine Skiing,2010,29.0,36
343,Alpine Skiing,2010,30.0,18
344,Alpine Skiing,2010,31.0,27
345,Alpine Skiing,2010,32.0,26
346,Alpine Skiing,2010,33.0,2
347,Alpine Skiing,2010,34.0,8
348,Alpine Skiing,2010,35.0,7
349,Alpine Skiing,2010,36.0,2
350,Alpine Skiing,2010,38.0,2
351,Alpine Skiing,2010,40.0,2
352,Alpine Skiing,2010,51.0,2
353,Alpine Skiing,2014,16.0,1
354,Alpine Skiing,2014,17.0,15
355,Alpine Skiing,2014,18.0,38
356,Alpine Skiing,2014,19.0,26
357,Alpine Skiing,2014,20.0,49
358,Alpine Skiing,2014,21.0,63
359,Alpine Skiing,2014,22.0,60
360,Alpine Skiing,2014,23.0,42
361,Alpine Skiing,2014,24.0,71
362,Alpine Skiing,2014,25.0,61
363,Alpine Skiing,2014,26.0,39
364,Alpine Skiing,2014,27.0,30
365,Alpine Skiing,2014,28.0,39
366,Alpine Skiing,2014,29.0,53
367,Alpine Skiing,2014,30.0,18
368,Alpine Skiing,2014,31.0,25
369,Alpine Skiing,2014,32.0,19
370,Alpine Skiing,2014,33.0,15
371,Alpine Skiing,2014,34.0,6
372,Alpine Skiing,2014,35.0,7
373,Alpine Skiing,2014,36.0,8
374,Alpine Skiing,2014,43.0,1
375,Alpine Skiing,2014,55.0,1
376,Alpinism,1924,27.0,1
377,Alpinism,1924,33.0,3
378,Alpinism,1924,35.0,1
379,Alpinism,1924,37.0,1
380,Alpinism,1924,39.0,1
381,Alpinism,1924,41.0,1
382,Alpinism,1924,47.0,1
383,Alpinism,1924,49.0,2
384,Alpinism,1924,57.0,1
385,Alpinism,1932,22.0,1
386,Alpinism,1932,27.0,1
387,Alpinism,1936,43.0,1
388,Alpinism,1936,49.0,1
389,Archery,1900,24.0,2
390,Archery,1900,26.0,2
391,Archery,1900,28.0,1
392,Archery,1900,32.0,1
393,Archery,1900,33.0,4
394,Archery,1900,34.0,5
395,Archery,1900,36.0,1
396,Archery,1900,38.0,2
397,Archery,1900,43.0,4
398,Archery,1900,46.0,1
399,Archery,1900,47.0,1
400,Archery,1900,48.0,1
401,Archery,1900,50.0,1
402,Archery,1904,15.0,3
403,Archery,1904,24.0,2
404,Archery,1904,26.0,3
405,Archery,1904,30.0,2
406,Archery,1904,40.0,3
407,Archery,1904,42.0,3
408,Archery,1904,43.0,3
409,Archery,1904,44.0,3
410,Archery,1904,48.0,3
411,Archery,1904,50.0,3
412,Archery,1904,52.0,3
413,Archery,1904,53.0,1
414,Archery,1904,54.0,2
415,Archery,1904,55.0,2
416,Archery,1904,56.0,3
417,Archery,1904,57.0,3
418,Archery,1904,58.0,3
419,Archery,1904,59.0,3
420,Archery,1904,63.0,8
421,Archery,1904,66.0,1
422,Archery,1904,68.0,2
423,Archery,1904,71.0,2
424,Archery,1908,18.0,2
425,Archery,1908,22.0,1
426,Archery,1908,26.0,1
427,Archery,1908,27.0,1
428,Archery,1908,30.0,3
429,Archery,1908,34.0,1
430,Archery,1908,35.0,1
431,Archery,1908,36.0,1
432,Archery,1908,37.0,3
433,Archery,1908,38.0,2
434,Archery,1908,40.0,4
435,Archery,1908,41.0,5
436,Archery,1908,42.0,1
437,Archery,1908,43.0,4
438,Archery,1908,44.0,1
439,Archery,1908,46.0,3
440,Archery,1908,47.0,2
441,Archery,1908,48.0,2
442,Archery,1908,51.0,1
443,Archery,1908,53.0,2
444,Archery,1908,54.0,3
445,Archery,1908,56.0,2
446,Archery,1908,57.0,1
447,Archery,1908,61.0,2
448,Archery,1920,25.0,1
449,Archery,1920,29.0,1
450,Archery,1920,31.0,3
451,Archery,1920,33.0,1
452,Archery,1920,34.0,1
453,Archery,1920,36.0,3
454,Archery,1920,38.0,3
455,Archery,1920,39.0,2
456,Archery,1920,40.0,4
457,Archery,1920,44.0,14
458,Archery,1920,45.0,1
459,Archery,1920,51.0,1
460,Archery,1920,53.0,3
461,Archery,1920,54.0,6
462,Archery,1920,55.0,3
463,Archery,1920,61.0,3
464,Archery,1972,18.0,1
465,Archery,1972,19.0,3
466,Archery,1972,20.0,2
467,Archery,1972,21.0,3
468,Archery,1972,22.0,3
469,Archery,1972,23.0,6
470,Archery,1972,24.0,3
471,Archery,1972,25.0,6
472,Archery,1972,26.0,5
473,Archery,1972,27.0,3
474,Archery,1972,28.0,4
475,Archery,1972,29.0,5
476,Archery,1972,30.0,5
477,Archery,1972,31.0,2
478,Archery,1972,32.0,4
479,Archery,1972,33.0,2
480,Archery,1972,34.0,5
481,Archery,1972,35.0,1
482,Archery,1972,36.0,3
483,Archery,1972,37.0,5
484,Archery,1972,38.0,2
485,Archery,1972,39.0,4
486,Archery,1972,40.0,5
487,Archery,1972,41.0,2
488,Archery,1972,42.0,2
489,Archery,1972,43.0,2
490,Archery,1972,44.0,2
491,Archery,1972,45.0,2
492,Archery,1972,46.0,1
493,Archery,1972,47.0,1
494,Archery,1972,59.0,1
495,Archery,1976,19.0,3
496,Archery,1976,20.0,2
497,Archery,1976,21.0,4
498,Archery,1976,22.0,3
499,Archery,1976,23.0,1
500,Archery,1976,24.0,2
501,Archery,1976,25.0,3
502,Archery,1976,26.0,2
503,Archery,1976,27.0,3
504,Archery,1976,28.0,6
505,Archery,1976,29.0,4
506,Archery,1976,30.0,7
507,Archery,1976,32.0,4
508,Archery,1976,33.0,3
509,Archery,1976,34.0,4
510,Archery,1976,35.0,1
511,Archery,1976,36.0,2
512,Archery,1976,38.0,1
513,Archery,1976,39.0,1
514,Archery,1976,40.0,2
515,Archery,1976,41.0,3
516,Archery,1976,42.0,1
517,Archery,1976,48.0,1
518,Archery,1980,16.0,2
519,Archery,1980,17.0,1
520,Archery,1980,18.0,3
521,Archery,1980,19.0,3
522,Archery,1980,20.0,1
523,Archery,1980,21.0,3
524,Archery,1980,22.0,4
525,Archery,1980,23.0,3
526,Archery,1980,24.0,3
527,Archery,1980,25.0,2
528,Archery,1980,26.0,5
529,Archery,1980,27.0,3
530,Archery,1980,28.0,2
531,Archery,1980,29.0,1
532,Archery,1980,30.0,2
533,Archery,1980,31.0,2
534,Archery,1980,32.0,3
535,Archery,1980,33.0,3
536,Archery,1980,34.0,1
537,Archery,1980,35.0,1
538,Archery,1980,36.0,4
539,Archery,1980,37.0,5
540,Archery,1980,39.0,2
541,Archery,1980,40.0,1
542,Archery,1980,41.0,1
543,Archery,1980,43.0,1
544,Archery,1980,45.0,2
545,Archery,1980,46.0,2
546,Archery,1980,47.0,1
547,Archery,1984,16.0,2
548,Archery,1984,17.0,4
549,Archery,1984,18.0,6
550,Archery,1984,19.0,6
551,Archery,1984,20.0,2
552,Archery,1984,21.0,8
553,Archery,1984,22.0,6
554,Archery,1984,23.0,7
555,Archery,1984,24.0,6
556,Archery,1984,26.0,6
557,Archery,1984,27.0,3
558,Archery,1984,28.0,4
559,Archery,1984,29.0,9
560,Archery,1984,30.0,3
561,Archery,1984,31.0,5
562,Archery,1984,32.0,4
563,Archery,1984,33.0,5
564,Archery,1984,34.0,3
565,Archery,1984,35.0,3
566,Archery,1984,36.0,4
567,Archery,1984,37.0,3
568,Archery,1984,38.0,6
569,Archery,1984,39.0,2
570,Archery,1984,40.0,1
571,Archery,1984,41.0,1
572,Archery,1988,14.0,2
573,Archery,1988,16.0,3
574,Archery,1988,17.0,8
575,Archery,1988,18.0,12
576,Archery,1988,19.0,10
577,Archery,1988,20.0,12
578,Archery,1988,21.0,13
579,Archery,1988,22.0,23
580,Archery,1988,23.0,20
581,Archery,1988,24.0,12
582,Archery,1988,25.0,16
583,Archery,1988,26.0,10
584,Archery,1988,27.0,18
585,Archery,1988,28.0,5
586,Archery,1988,29.0,3
587,Archery,1988,30.0,10
588,Archery,1988,31.0,11
589,Archery,1988,32.0,4
590,Archery,1988,33.0,13
591,Archery,1988,34.0,5
592,Archery,1988,35.0,6
593,Archery,1988,36.0,11
594,Archery,1988,37.0,9
595,Archery,1988,38.0,2
596,Archery,1988,39.0,5
597,Archery,1988,41.0,3
598,Archery,1988,42.0,1
599,Archery,1988,43.0,2
600,Archery,1988,44.0,2
601,Archery,1988,45.0,2
602,Archery,1988,48.0,2
603,Archery,1988,54.0,2
604,Archery,1992,16.0,2
605,Archery,1992,17.0,5
606,Archery,1992,18.0,19
607,Archery,1992,19.0,22
608,Archery,1992,20.0,22
609,Archery,1992,21.0,19
610,Archery,1992,22.0,18
611,Archery,1992,23.0,16
612,Archery,1992,24.0,14
613,Archery,1992,25.0,14
614,Archery,1992,26.0,11
615,Archery,1992,27.0,12
616,Archery,1992,28.0,11
617,Archery,1992,29.0,6
618,Archery,1992,30.0,12
619,Archery,1992,31.0,4
620,Archery,1992,32.0,6
621,Archery,1992,33.0,2
622,Archery,1992,34.0,4
623,Archery,1992,35.0,1
624,Archery,1992,36.0,7
625,Archery,1992,37.0,3
626,Archery,1992,38.0,4
627,Archery,1992,39.0,4
628,Archery,1992,40.0,1
629,Archery,1992,41.0,2
630,Archery,1992,42.0,2
631,Archery,1992,44.0,1
632,Archery,1992,47.0,1
633,Archery,1992,49.0,1
634,Archery,1992,50.0,1
635,Archery,1996,16.0,2
636,Archery,1996,17.0,8
637,Archery,1996,18.0,10
638,Archery,1996,19.0,12
639,Archery,1996,20.0,17
640,Archery,1996,21.0,20
641,Archery,1996,22.0,13
642,Archery,1996,23.0,30
643,Archery,1996,24.0,16
644,Archery,1996,25.0,12
645,Archery,1996,26.0,7
646,Archery,1996,27.0,7
647,Archery,1996,28.0,6
648,Archery,1996,29.0,8
649,Archery,1996,30.0,3
650,Archery,1996,31.0,3
651,Archery,1996,32.0,2
652,Archery,1996,33.0,9
653,Archery,1996,34.0,10
654,Archery,1996,35.0,5
655,Archery,1996,36.0,2
656,Archery,1996,37.0,4
657,Archery,1996,38.0,1
658,Archery,1996,39.0,1
659,Archery,1996,40.0,3
660,Archery,1996,42.0,2
661,Archery,1996,43.0,3
662,Archery,1996,44.0,2
663,Archery,2000,16.0,1
664,Archery,2000,17.0,4
665,Archery,2000,18.0,10
666,Archery,2000,19.0,6
667,Archery,2000,20.0,17
668,Archery,2000,21.0,12
669,Archery,2000,22.0,10
670,Archery,2000,23.0,11
671,Archery,2000,24.0,22
672,Archery,2000,25.0,11
673,Archery,2000,26.0,18
674,Archery,2000,27.0,15
675,Archery,2000,28.0,7
676,Archery,2000,29.0,10
677,Archery,2000,30.0,6
678,Archery,2000,31.0,11
679,Archery,2000,32.0,3
680,Archery,2000,33.0,2
681,Archery,2000,34.0,4
682,Archery,2000,35.0,6
683,Archery,2000,36.0,2
684,Archery,2000,37.0,2
685,Archery,2000,38.0,3
686,Archery,2000,39.0,4
687,Archery,2000,40.0,1
688,Archery,2000,42.0,1
689,Archery,2000,45.0,2
690,Archery,2000,46.0,2
691,Archery,2000,47.0,2
692,Archery,2000,62.0,1
693,Archery,2004,17.0,7
694,Archery,2004,18.0,7
695,Archery,2004,19.0,17
696,Archery,2004,20.0,28
697,Archery,2004,21.0,18
698,Archery,2004,22.0,8
699,Archery,2004,23.0,19
700,Archery,2004,24.0,12
701,Archery,2004,25.0,11
702,Archery,2004,26.0,14
703,Archery,2004,27.0,5
704,Archery,2004,28.0,14
705,Archery,2004,29.0,7
706,Archery,2004,30.0,7
707,Archery,2004,31.0,4
708,Archery,2004,32.0,6
709,Archery,2004,33.0,2
710,Archery,2004,34.0,5
711,Archery,2004,35.0,2
712,Archery,2004,36.0,2
713,Archery,2004,37.0,1
714,Archery,2004,38.0,5
715,Archery,2004,39.0,1
716,Archery,2004,41.0,4
717,Archery,2004,42.0,1
718,Archery,2004,43.0,1
719,Archery,2004,48.0,2
720,Archery,2004,50.0,2
721,Archery,2008,14.0,1
722,Archery,2008,17.0,2
723,Archery,2008,18.0,2
724,Archery,2008,19.0,10
725,Archery,2008,20.0,13
726,Archery,2008,21.0,11
727,Archery,2008,22.0,15
728,Archery,2008,23.0,18
729,Archery,2008,24.0,18
730,Archery,2008,25.0,19
731,Archery,2008,26.0,11
732,Archery,2008,27.0,10
733,Archery,2008,28.0,7
734,Archery,2008,29.0,4
735,Archery,2008,30.0,6
736,Archery,2008,31.0,2
737,Archery,2008,32.0,11
738,Archery,2008,33.0,3
739,Archery,2008,34.0,7
740,Archery,2008,35.0,4
741,Archery,2008,36.0,2
742,Archery,2008,38.0,4
743,Archery,2008,39.0,4
744,Archery,2008,40.0,3
745,Archery,2008,41.0,1
746,Archery,2008,42.0,3
747,Archery,2008,46.0,1
748,Archery,2008,52.0,2
749,Archery,2012,15.0,1
750,Archery,2012,17.0,4
751,Archery,2012,18.0,13
752,Archery,2012,19.0,12
753,Archery,2012,20.0,7
754,Archery,2012,21.0,18
755,Archery,2012,22.0,10
756,Archery,2012,23.0,14
757,Archery,2012,24.0,15
758,Archery,2012,25.0,14
759,Archery,2012,26.0,15
760,Archery,2012,27.0,16
761,Archery,2012,28.0,17
762,Archery,2012,29.0,6
763,Archery,2012,30.0,5
764,Archery,2012,31.0,5
765,Archery,2012,32.0,2
766,Archery,2012,33.0,4
767,Archery,2012,35.0,2
768,Archery,2012,36.0,5
769,Archery,2012,38.0,5
770,Archery,2012,40.0,3
771,Archery,2012,41.0,1
772,Archery,2012,42.0,3
773,Archery,2012,43.0,1
774,Archery,2012,46.0,2
775,Archery,2016,16.0,1
776,Archery,2016,17.0,2
777,Archery,2016,18.0,5
778,Archery,2016,19.0,11
779,Archery,2016,20.0,12
780,Archery,2016,21.0,20
781,Archery,2016,22.0,21
782,Archery,2016,23.0,23
783,Archery,2016,24.0,11
784,Archery,2016,25.0,15
785,Archery,2016,26.0,11
786,Archery,2016,27.0,17
787,Archery,2016,28.0,10
788,Archery,2016,29.0,5
789,Archery,2016,30.0,3
790,Archery,2016,31.0,8
791,Archery,2016,32.0,4
792,Archery,2016,33.0,6
793,Archery,2016,35.0,2
794,Archery,2016,36.0,3
795,Archery,2016,37.0,3
796,Archery,2016,38.0,2
797,Archery,2016,41.0,1
798,Archery,2016,42.0,3
799,Archery,2016,44.0,1
800,Art Competitions,1912,27.0,1
801,Art Competitions,1912,30.0,1
802,Art Competitions,1912,31.0,1
